current object'et:  Index1$WikiItem@279f2327  current.str:                               Anarchism. current.next:  Index1$WikiItem@2ff4acd0
current object'et:  Index1$WikiItem@2ff4acd0  current.str:                                 Autism.  current.next:  Index1$WikiItem@3f99bd52
current object'et:  Index1$WikiItem@3f99bd52  current.str:                                 Albedo.  current.next:  Index1$WikiItem@4f023edb
current object'et:  Index1$WikiItem@4f023edb  current.str:                                      A.  current.next:  Index1$WikiItem@3a71f4dd
current object'et:  Index1$WikiItem@3a71f4dd  current.str:                                Alabama.  current.next:  Index1$WikiItem@7adf9f5f
current object'et:  Index1$WikiItem@7adf9f5f  current.str:                               Achilles.  current.next:  Index1$WikiItem@85ede7b
current object'et:   Index1$WikiItem@85ede7b  current.str:                        Abraham Lincoln.  current.next:  Index1$WikiItem@5674cd4d
current object'et:  Index1$WikiItem@5674cd4d  current.str:                              Aristotle.  current.next:  Index1$WikiItem@63961c42
current object'et:  Index1$WikiItem@63961c42  current.str:                   An American in Paris.  current.next:  Index1$WikiItem@65b54208
current object'et:  Index1$WikiItem@65b54208  current.str:                          Academy Award.  current.next:  Index1$WikiItem@1be6f5c3
current object'et:  Index1$WikiItem@1be6f5c3  current.str:                        Animalia (book).  current.next:  Index1$WikiItem@6b884d57
current object'et:  Index1$WikiItem@6b884d57  current.str:                               Altruism.  current.next:  Index1$WikiItem@38af3868
current object'et:  Index1$WikiItem@38af3868  current.str:                               Ayn Rand.  current.next:  Index1$WikiItem@77459877
current object'et:  Index1$WikiItem@77459877  current.str:                           Alain Connes.  current.next:  Index1$WikiItem@5b2133b1
current object'et:  Index1$WikiItem@5b2133b1  current.str:                                Algeria.  current.next:  Index1$WikiItem@72ea2f77
current object'et:  Index1$WikiItem@72ea2f77  current.str:      List of Atlas Shrugged characters.  current.next:  Index1$WikiItem@33c7353a
current object'et:  Index1$WikiItem@33c7353a  current.str:                           Anthropology.  current.next:  Index1$WikiItem@681a9515
current object'et:  Index1$WikiItem@681a9515  current.str:                   Agricultural science.  current.next:  Index1$WikiItem@3af49f1c
current object'et:  Index1$WikiItem@3af49f1c  current.str:                                Alchemy.  current.next:  Index1$WikiItem@19469ea2
current object'et:  Index1$WikiItem@19469ea2  current.str:                                Austria.  current.next:  Index1$WikiItem@13221655
current object'et:  Index1$WikiItem@13221655  current.str:                               Amoeboid.  current.next:  Index1$WikiItem@2f2c9b19
current object'et:  Index1$WikiItem@2f2c9b19  current.str:                                  ASCII.  current.next:  Index1$WikiItem@31befd9f
